idmun,nmun,lat,lon,dh,ides
54,Magdalena Zahuatlán          ,17.3884,-97.229,6,20
61,Monjas                       ,16.3672,-96.6368,6,20
62,Natividad                    ,17.2969,-96.4333,6,20
63,Nazareno Etla                ,17.178,-96.824,6,20
77,Reyes Etla                   ,17.2056,-96.8101,6,20
87,San Agustín Yatareni         ,17.0812,-96.6681,6,20
91,San Andrés Huayápam          ,17.1025,-96.6662,6,20
99,San Andrés Tepetlapa         ,17.6658,-98.3917,6,20
103,San Antonino Castillo Velasco,16.8032,-96.6846,6,20
107,San Antonio de la Cal        ,17.0313,-96.6993,6,20
127,San Cristóbal Amoltepec      ,17.2845,-97.5699,6,20
128,San Cristóbal Lachirioag     ,17.336,-96.165,6,20
145,San Francisco Lachigoló      ,17.0114,-96.5985,6,20
146,San Francisco Logueche       ,16.3523,-96.37799999999999,6,20
157,San Jacinto Amilpas          ,17.1008,-96.7626,6,20
174,Ánimas Trujano               ,16.9889,-96.7132,6,20
192,San Juan Chilateca           ,16.8285,-96.67200000000001,6,20
216,San Juan Tabaá               ,17.305,-96.20700000000001,6,20
228,San Lorenzo Cuaunecuiltitla  ,18.2065,-96.9131,6,20
238,San Martín de los Cansecos   ,16.6565,-96.729,6,20
241,San Martín Lachilá           ,16.6109,-96.8494,6,20
249,San Mateo Yoloxochitlán      ,18.1437,-96.8684,6,20
250,San Mateo Etlatongo          ,17.4148,-97.2717,6,20
267,San Miguel del Río           ,17.3217,-96.5692,6,20
268,San Miguel Ejutla            ,16.5804,-96.7394,6,20
290,San Nicolás Hidalgo          ,17.7829,-98.1426,6,20
295,San Pablo Huixtepec          ,16.8267,-96.781,6,20
299,San Pablo Yaganiza           ,17.1461,-96.2296,6,20
301,San Pedro Apóstol            ,16.7351,-96.726,6,20
303,San Pedro Cajonos            ,17.1687,-96.2606,6,20
322,San Pedro Ocopetatillo       ,18.1849,-96.9132,6,20
341,San Pedro Yucunama           ,17.561,-97.4826,6,20
342,San Raymundo Jalpan          ,16.9704,-96.7555,6,20
350,San Sebastián Tutla          ,17.0585,-96.6721,6,20
354,Santa Ana Ateixtlahuaca      ,18.2106,-96.9064,6,20
369,Santa Catarina Quiané        ,16.8803,-96.7407,6,20
375,Santa Cruz Amilpas           ,17.0587,-96.684,6,20
383,Santa Cruz Tayata            ,17.3578,-97.5686,6,20
389,Santa Inés Yatzeche          ,16.8087,-96.7563,6,20
393,Santa Lucía Ocotlán          ,16.7422,-96.6804,6,20
396,Santa María la Asunción      ,18.1082,-96.8194,6,20
403,Santa María Coyotepec        ,16.9672,-96.7067,6,20
409,Santa María del Tule         ,17.0467,-96.6366,6,20
411,Santa María Guelacé          ,17.0009,-96.6028,6,20
434,Santa Marí Teopoxco          ,18.1667,-96.9551,6,20
436,Santa Marí Texcatitlán       ,17.7129,-97.0667,6,20
442,Santa Marí Yalina            ,17.2405,-96.2628,6,20
444,Santa Marí Yolotepec         ,16.8768,-97.5053,6,20
493,Santiago Tillo               ,17.4603,-97.3197,6,20
503,Santiago Zoochila            ,17.2206,-96.2421,6,20
510,Santo Domingo Ixcatlán       ,16.9139,-97.5319,6,20
538,Sitio de Xitlapehua          ,16.351,-96.5326,6,20
539,Soledad Etla                 ,17.1717,-96.8208,6,20
542,Taniche                      ,16.567,-96.7536,6,20
555,Trinidad Zaachila            ,16.9212,-96.7653,6,20
556,La Trinidad Vista Hermosa    ,17.7726,-97.5058,6,20
562,Magdalena Yodocono de Porfiri,17.3851,-97.355,6,20
29,Caxhuacan                    ,20.064,-97.6066,6,21
30,Coatepec                     ,20.0621,-97.7323,6,21
33,Cohuecan                     ,18.7832,-98.7205,6,21
38,Cuapiaxtla de Madero         ,18.9169,-97.8253,6,21
60,Domingo Arenas               ,19.142,-98.4575,6,21
80,Atlequizayan                 ,20.014,-97.6241,6,21
90,Juan C. Bonilla              ,19.1107,-98.329,6,21
91,Juan Galindo                 ,20.2121,-98.0021,6,21
117,Rafael Lara Grajales         ,19.2254,-97.8046,6,21
126,San Jerónimo Tecuanipan      ,19.0144,-98.40100000000001,6,21
136,San Miguel Xoxtla            ,19.1683,-98.3097,6,21
201,Xochiltepec                  ,18.65,-98.3435,6,21
1,Amaxac de Guerrero           ,19.3503,-98.1696,6,29
18,Contla de Juan Cuamatzi      ,19.3345,-98.1679,6,29
22,Acuamanala de Miguel Hidalgo ,19.2247,-98.2008,6,29
29,Tepeyanco                    ,19.2456,-98.236,6,29
42,Xicohtzinco                  ,19.175,-98.2337,6,29
47,Lázaro Cárdenas              ,19.5388,-97.9832,6,29
48,La Magdalena Tlaltelulco     ,19.2774,-98.195,6,29
49,San Damián Texóloc           ,19.2784,-98.2846,6,29
53,San Juan Huactzinco          ,19.2379,-98.2503,6,29
54,San Lorenzo Axocomanitla     ,19.2252,-98.2489,6,29
56,Santa Ana Nopalucan          ,19.2998,-98.3342,6,29
57,Santa Apolonia Teacalco      ,19.2372,-98.3087,6,29
58,Santa Catarina Ayometla      ,19.1999,-98.2144,6,29
59,Santa Cruz Quilehtla         ,19.2132,-98.22200000000001,6,29
18,Aquila                       ,18.7957,-97.3081,6,30
30,Camerino Z. Mendoza          ,18.8042,-97.1847,6,30
41,Coetzala                     ,18.7856,-96.9167,6,30
98,Magdalena                    ,18.7606,-97.0455,6,30
106,Miahuatlán                   ,19.7075,-96.8699,6,30
120,Oteapan                      ,17.9995,-94.6666,6,30
136,Rafael Lucio                 ,19.5931,-96.9896,6,30
186,Tomatlán                     ,19.0315,-97.0103,6,30
11,Calihualá                    ,17.5329,-98.2784,6,20
13,Ciénega de Zimatlán          ,16.8971,-96.7666,6,20
20,Constancia del Rosario       ,17.0378,-97.9415,6,20
23,Cuilápam de Guerrero         ,16.996,-96.7806,6,20
27,Chiquihuitlán de Benito Juáre,17.9954,-96.7454,6,20
45,Magdalena Apasco             ,17.2421,-96.8211,6,20
47,Santa Magdalena Jicotlán     ,17.807,-97.4707,6,20
