cc,desciel,dirvienc,dirvieng,dloc,ndia,prec,probprec,tmax,tmin,velvien,idmun,ides
78.96,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,19.1,4.7,9.9,54,20
86.18,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,23.1,4.6,4.5,54,20
78.79,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.7,7.7,4.9,54,20
77.47,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,20.9,6.6,9,54,20
76.97,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,23.4,8,8.7,61,20
87.48,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,25.3,7.8,3,61,20
95.19,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,26.7,10.9,4.4,61,20
74.65,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,25.3,10,7.6,61,20
72.91,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,19.1,5,5.4,62,20
89.11,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.6,5.6,4.9,62,20
92.97,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,26.3,7.8,2.9,62,20
82.24,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,20.3,7,5.2,62,20
81.98,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,22.2,5.1,8.1,63,20
88.17,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,24.3,5.2,2,63,20
92.6,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,25.9,8.3,3.7,63,20
61.27,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,23.8,7.2,6.8,63,20
81.98,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,22.1,5,8.3,77,20
88.17,Despejado    ,Este    ,90,2024/11/27,Miercoles      ,0,0,24.2,5.1,2.7,77,20
92.6,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,25.9,8.2,4.2,77,20
61.27,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,23.7,7.1,7.1,77,20
75.55,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.1,5.9,7.2,87,20
86.18,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.1,5.9,3.5,87,20
93.53,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.9,8.8,4.9,87,20
62.21,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.3,8,5.8,87,20
75.55,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,22.8,5.8,7.3,91,20
86.18,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,24.1,5.8,3.1,91,20
93.53,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.8,8.8,4.7,91,20
62.21,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.1,7.8,5.8,91,20
72.44,Despejado    ,Sureste ,135,2024/11/26,Martes         ,0,0,26.9,9.9,4.9,99,20
78.07,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,27.2,9.5,4.6,99,20
83.75,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,28.4,11.2,4.4,99,20
73.72,Despejado    ,Sureste ,135,2024/11/29,Viernes        ,0,0,28.8,12.2,4.2,99,20
78.41,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.5,7.1,7.4,103,20
86.55,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.1,6.9,4.7,103,20
88.99,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.9,9.8,4.6,103,20
55.56,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.5,9.4,6.7,103,20
77.63,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24,6.1,7.3,107,20
84.72,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.3,6.1,4.7,107,20
93.19,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26.2,8.9,5.4,107,20
56.88,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25,8.3,6.1,107,20
81.4,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,21.2,5.5,7.3,127,20
86.41,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,22.8,5.5,3.9,127,20
92.13,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.2,8,4.3,127,20
78.94,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,22.7,7.7,5.9,127,20
69.46,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,21.4,7.4,7.1,128,20
89.51,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,24.2,7.5,7.6,128,20
90.29,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28,10.1,6.5,128,20
79.88,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,22.3,9.7,5.6,128,20
72.27,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.5,6.4,7.2,145,20
86.32,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,23.9,6.3,5.1,145,20
93.01,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.6,9.1,6.2,145,20
60,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.7,8.5,6.6,145,20
70.24,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.1,8.3,5.8,146,20
83.26,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.2,8.2,2.9,146,20
94.76,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26,11,4,146,20
67.7,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,23.8,9.7,6.1,146,20
80.19,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.5,5.7,7.6,157,20
85.51,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,24.4,5.7,3,157,20
93.08,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26.2,8.7,4.3,157,20
57.03,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.7,7.8,5.7,157,20
77.71,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,24.5,6.2,7.4,174,20
84.81,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.5,6.2,5.4,174,20
92.48,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.4,9.1,5.9,174,20
56.16,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.4,8.6,6.6,174,20
75.25,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.4,7,7.3,192,20
87.82,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25,6.9,4.6,192,20
90.31,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26.8,9.8,4.6,192,20
