intelligence,strength,speed,durability,combat,power,height_cm,weight_kg
38.0,100.0,17.0,80.0,64.0,24.0,203.0,441.0
88.0,28.0,35.0,65.0,85.0,100.0,191.0,65.0
50.0,90.0,53.0,64.0,65.0,99.0,185.0,90.0
63.0,80.0,53.0,90.0,95.0,62.0,203.0,441.0
38.0,80.0,25.0,100.0,64.0,98.0,193.0,122.0
69.0,10.0,33.0,40.0,50.0,37.0,185.0,88.0
10.0,8.0,13.0,5.0,20.0,5.0,178.0,81.0
75.0,28.0,38.0,80.0,95.0,72.0,191.0,104.0
50.0,85.0,100.0,85.0,40.0,100.0,188.0,108.0
56.0,48.0,35.0,80.0,55.0,34.0,193.0,90.0
63.0,80.0,23.0,90.0,32.0,100.0,180.0,90.0
63.0,10.0,17.0,10.0,55.0,7.0,178.0,72.0
50.0,28.0,42.0,90.0,60.0,57.0,244.0,169.0
63.0,100.0,83.0,100.0,100.0,100.0,257.0,173.0
63.0,13.0,46.0,64.0,42.0,28.0,183.0,68.0
38.0,55.0,23.0,42.0,30.0,17.0,165.0,57.0
38.0,10.0,28.0,28.0,60.0,56.0,163.0,54.0
56.0,48.0,47.0,85.0,80.0,73.0,183.0,83.0
75.0,80.0,47.0,56.0,64.0,59.0,180.0,90.0
100.0,18.0,23.0,28.0,32.0,32.0,211.0,122.0
75.0,18.0,17.0,40.0,30.0,53.0,183.0,86.0
75.0,60.0,65.0,90.0,84.0,96.0,229.0,358.0
100.0,100.0,33.0,100.0,60.0,100.0,213.0,135.0
63.0,44.0,42.0,75.0,60.0,89.0,178.0,106.0
81.0,85.0,79.0,80.0,80.0,100.0,185.0,146.0
50.0,48.0,50.0,70.0,70.0,71.0,175.0,63.0
63.0,13.0,58.0,64.0,42.0,35.0,183.0,68.0
38.0,63.0,23.0,42.0,70.0,52.0,173.0,57.0
63.0,100.0,100.0,80.0,25.0,100.0,193.0,98.0
75.0,82.0,35.0,80.0,101.0,84.0,185.0,270.0
50.0,10.0,12.0,14.0,28.0,94.0,165.0,59.0
50.0,63.0,12.0,80.0,54.0,55.0,163.0,50.0
63.0,80.0,25.0,100.0,50.0,98.0,183.0,101.0
63.0,100.0,42.0,100.0,80.0,27.0,198.0,126.0
38.0,10.0,23.0,28.0,42.0,38.0,168.0,54.0
88.0,10.0,33.0,45.0,60.0,40.0,183.0,81.0
63.0,10.0,96.0,60.0,56.0,74.0,180.0,63.0
50.0,11.0,47.0,95.0,80.0,100.0,183.0,67.0
88.0,38.0,23.0,56.0,95.0,51.0,203.0,180.0
50.0,10.0,58.0,40.0,70.0,63.0,183.0,77.0
25.0,53.0,23.0,54.0,56.0,21.0,165.0,54.0
88.0,11.0,33.0,40.0,90.0,34.0,170.0,57.0
69.0,12.0,27.0,56.0,100.0,46.0,165.0,52.0
75.0,10.0,23.0,28.0,80.0,22.0,168.0,61.0
81.0,40.0,29.0,55.0,90.0,63.0,178.0,77.0
100.0,26.0,27.0,50.0,100.0,47.0,188.0,95.0
88.0,11.0,33.0,28.0,100.0,36.0,178.0,79.0
50.0,53.0,35.0,74.0,74.0,48.0,198.0,133.0
94.0,48.0,38.0,60.0,85.0,43.0,180.0,181.0
50.0,28.0,50.0,70.0,40.0,79.0,173.0,68.0
63.0,80.0,35.0,95.0,84.0,100.0,201.0,216.0
88.0,100.0,79.0,100.0,100.0,100.0,188.0,135.0
75.0,12.0,23.0,28.0,70.0,19.0,165.0,71.0
63.0,14.0,23.0,75.0,65.0,100.0,198.0,124.0
38.0,95.0,100.0,100.0,85.0,100.0,191.0,155.0
88.0,100.0,92.0,100.0,56.0,100.0,191.0,113.0
75.0,67.0,100.0,84.0,56.0,100.0,188.0,95.0
63.0,8.0,33.0,20.0,80.0,52.0,170.0,59.0
63.0,8.0,33.0,15.0,80.0,45.0,165.0,58.0
75.0,16.0,33.0,10.0,70.0,23.0,178.0,54.0
63.0,10.0,8.0,70.0,70.0,43.0,183.0,86.0
50.0,11.0,53.0,28.0,75.0,70.0,185.0,90.0
75.0,10.0,35.0,42.0,65.0,88.0,170.0,52.0
75.0,28.0,50.0,60.0,85.0,76.0,188.0,92.0
88.0,16.0,30.0,60.0,100.0,41.0,183.0,90.0
75.0,13.0,33.0,30.0,100.0,36.0,170.0,59.0
63.0,32.0,45.0,80.0,65.0,45.0,191.0,104.0
38.0,10.0,35.0,32.0,56.0,20.0,185.0,86.0
50.0,28.0,8.0,30.0,25.0,69.0,188.0,88.0
63.0,28.0,38.0,50.0,90.0,40.0,188.0,97.0
69.0,14.0,12.0,90.0,28.0,52.0,168.0,68.0
50.0,8.0,20.0,28.0,64.0,77.0,165.0,56.0
38.0,10.0,27.0,42.0,56.0,47.0,175.0,77.0
10.0,83.0,23.0,95.0,72.0,28.0,178.0,230.0
63.0,80.0,33.0,80.0,84.0,100.0,218.0,495.0
38.0,10.0,12.0,42.0,64.0,57.0,165.0,55.0
100.0,95.0,63.0,90.0,75.0,60.0,198.0,135.0
100.0,10.0,23.0,28.0,32.0,60.0,170.0,61.0
63.0,28.0,42.0,70.0,60.0,48.0,157.0,52.0
50.0,11.0,25.0,70.0,70.0,20.0,183.0,90.0
63.0,28.0,25.0,10.0,35.0,47.0,170.0,59.0
88.0,48.0,23.0,56.0,80.0,100.0,203.0,158.0
63.0,53.0,23.0,42.0,85.0,52.0,175.0,74.0
50.0,28.0,67.0,99.0,56.0,94.0,183.0,81.0
69.0,19.0,38.0,55.0,100.0,60.0,188.0,108.0
81.0,93.0,83.0,90.0,80.0,100.0,193.0,90.0
75.0,77.0,50.0,60.0,80.0,31.0,198.0,116.0
88.0,100.0,88.0,95.0,75.0,100.0,193.0,101.0
84.0,88.0,71.0,95.0,90.0,100.0,180.0,74.0
75.0,81.0,27.0,90.0,56.0,34.0,175.0,74.0
63.0,63.0,70.0,84.0,90.0,88.0,185.0,86.0
69.0,11.0,33.0,28.0,85.0,27.0,175.0,61.0
88.0,80.0,53.0,64.0,100.0,100.0,201.0,97.0
50.0,10.0,20.0,80.0,64.0,57.0,175.0,63.0
63.0,10.0,23.0,42.0,64.0,64.0,180.0,81.0
38.0,8.0,42.0,20.0,70.0,32.0,163.0,50.0
88.0,100.0,88.0,80.0,95.0,78.0,175.0,54.0
50.0,95.0,33.0,100.0,60.0,23.0,183.0,170.0
63.0,10.0,47.0,64.0,56.0,100.0,226.0,70.0
75.0,10.0,17.0,10.0,40.0,7.0,178.0,78.0
63.0,83.0,33.0,100.0,80.0,45.0,226.0,225.0
56.0,10.0,21.0,25.0,60.0,54.0,183.0,67.0
50.0,10.0,8.0,10.0,25.0,27.0,183.0,99.0
63.0,16.0,12.0,14.0,56.0,61.0,168.0,50.0
75.0,53.0,42.0,85.0,64.0,71.0,198.0,173.0
75.0,10.0,23.0,42.0,80.0,76.0,191.0,88.0
75.0,13.0,25.0,35.0,100.0,61.0,183.0,90.0
50.0,32.0,33.0,70.0,64.0,74.0,185.0,81.0
88.0,100.0,83.0,100.0,95.0,100.0,267.0,817.0
