name,weight,height,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed,id,power_score,strong
wyrdeer,951,18,263,normal,103,105,72,105,75,65,899,525,True
slaking,1305,20,252,normal,150,160,100,95,65,100,289,670,True
braviary,410,15,179,normal,100,123,75,57,75,80,628,510,True
lickilicky,1400,17,180,normal,110,85,95,80,95,50,463,515,True
farigiraf,1600,32,260,normal,120,90,70,110,70,60,981,520,True
meloetta-aria,65,6,270,normal,100,77,77,128,128,90,648,600,True
teddiursa,88,6,66,normal,60,80,50,50,50,40,216,330,False
raticate,185,7,145,normal,55,81,60,50,70,97,20,413,False
pidgeotto,300,11,122,normal,63,60,55,50,50,71,17,349,False
zigzagoon,175,4,56,normal,38,30,41,30,41,60,263,240,False
azurill,20,2,38,normal,50,20,40,20,40,20,298,190,False
stantler,712,14,163,normal,73,95,62,85,65,85,234,465,False
eevee,65,3,65,normal,55,55,50,45,65,55,133,325,False
pikipek,12,3,53,normal,35,75,30,30,30,65,731,265,False
skwovet,25,3,55,normal,70,55,55,35,35,25,819,275,False
watchog,270,11,147,normal,60,85,69,60,69,77,505,420,False
sentret,60,8,43,normal,35,46,34,35,45,20,161,215,False
furret,325,18,145,normal,85,76,64,45,55,90,162,415,False
pidgey,18,3,50,normal,40,45,40,35,35,56,16,251,False
skitty,110,6,52,normal,50,45,45,35,35,50,300,260,False
toucannon,260,11,218,normal,80,120,75,75,75,60,733,485,False
squawkabilly-green-plumage,24,6,146,normal,82,96,51,45,51,92,931,417,False
lopunny,333,12,168,normal,65,76,84,54,96,105,428,480,False
lillipup,41,4,55,normal,45,60,45,25,45,55,506,275,False
ditto,40,3,101,normal,48,48,48,48,48,48,132,288,False
cinccino,75,5,165,normal,75,95,60,65,60,115,573,470,False
bouffalant,946,16,172,normal,95,110,95,40,95,55,626,490,False
slakoth,240,8,56,normal,60,60,60,35,35,30,287,280,False
iron-treads,2400,9,285,ground,90,112,120,72,70,106,990,570,True
gliscor,425,20,179,ground,75,95,125,45,75,95,472,510,True
hippowdon,3000,20,184,ground,108,112,118,68,72,47,450,525,True
flygon,820,20,234,ground,80,100,80,80,80,100,330,520,True
toedscruel,580,19,180,ground,80,70,65,80,120,100,949,515,True
landorus-incarnate,680,15,270,ground,89,125,90,115,80,101,645,600,True
sandaconda,655,38,179,ground,72,107,125,65,70,71,844,510,True
groudon,9500,35,302,ground,100,150,140,100,90,90,383,670,True
rhyperior,2828,24,241,ground,115,140,130,55,55,40,464,535,True
mudsdale,9200,25,175,ground,100,125,100,55,85,35,750,500,False
diglett,8,2,53,ground,10,55,25,35,45,95,50,265,False
rhydon,1200,19,170,ground,105,130,120,45,45,40,112,485,False
rhyhorn,1150,10,69,ground,80,85,95,30,30,25,111,345,False
phanpy,335,5,66,ground,90,60,60,40,40,40,231,330,False
baltoy,215,5,60,ground,40,40,55,40,70,55,343,300,False
gligar,648,11,86,ground,65,75,105,35,65,85,207,430,False
toedscool,330,9,67,ground,40,40,35,50,100,70,948,335,False
claydol,1080,15,175,ground,60,70,105,70,120,75,344,500,False
sandshrew,120,6,60,ground,50,75,85,20,30,40,27,300,False
mudbray,1100,10,77,ground,70,100,70,45,55,45,749,385,False
runerigus,666,16,169,ground,58,95,145,50,105,30,867,483,False
stunfisk,110,7,165,ground,109,66,84,81,99,32,618,471,False
donphan,1200,11,175,ground,90,120,120,60,60,50,232,500,False
exeggutor,1200,20,186,grass,95,95,85,125,75,55,103,530,True
chesnaught,900,16,239,grass,88,107,122,74,75,64,652,530,True
kartana,1,3,257,grass,59,181,131,59,31,109,798,570,True
leafeon,255,10,184,grass,65,110,130,60,65,95,470,525,True
arboliva,482,14,255,grass,78,69,90,125,109,39,930,510,True
rillaboom,900,21,265,grass,100,125,90,60,70,85,812,530,True
roserade,145,9,232,grass,60,70,65,125,105,90,407,515,True
meowscarada,312,15,265,grass,76,110,70,81,70,123,908,530,True
meganium,1005,18,236,grass,80,82,100,83,100,80,154,525,True
virizion,2000,20,261,grass,91,90,72,90,129,108,640,580,True
sunflora,85,8,149,grass,75,75,55,105,85,30,192,425,False
vileplume,186,12,221,grass,75,80,85,110,90,50,45,490,False
thwackey,140,7,147,grass,70,85,70,55,60,80,811,420,False
shroomish,45,4,59,grass,60,40,60,40,60,35,285,295,False
bounsweet,32,3,42,grass,42,30,38,30,38,32,761,210,False
