Credito,PI,SP,EI
CRED_0001,0.0999,0.3111,1464022
CRED_0002,0.2382,0.5251,3851250
CRED_0003,0.1857,0.7238,1002246
CRED_0004,0.1537,0.6393,69675
CRED_0005,0.0474,0.6839,123997
CRED_0006,0.0474,0.5953,1017561
CRED_0007,0.0239,0.6154,2048671
CRED_0008,0.2179,0.7095,536799
CRED_0009,0.1543,0.3498,4999982
CRED_0010,0.1799,0.4937,2288057
CRED_0011,0.0149,0.3327,4514344
CRED_0012,0.2428,0.7926,2459029
CRED_0013,0.2098,0.7664,3971451
CRED_0014,0.061,0.2237,616088
CRED_0015,0.0536,0.6233,1812999
CRED_0016,0.054,0.7551,708003
CRED_0017,0.083,0.3083,2450081
CRED_0018,0.1359,0.5408,855113
CRED_0019,0.1137,0.7493,2513160
CRED_0020,0.0799,0.2204,983396
CRED_0021,0.1568,0.6185,3212801
CRED_0022,0.0435,0.3784,4084464
CRED_0023,0.0801,0.7546,1653546
CRED_0024,0.0979,0.7826,2142101
CRED_0025,0.1195,0.7666,2009310
CRED_0026,0.1984,0.4845,1506081
CRED_0027,0.0579,0.7172,165359
CRED_0028,0.1334,0.7067,2213859
CRED_0029,0.1522,0.3915,4495655
CRED_0030,0.0211,0.6973,3785444
CRED_0031,0.1558,0.2222,3591483
CRED_0032,0.0509,0.5578,2642631
CRED_0033,0.0256,0.338,1734351
CRED_0034,0.2377,0.2723,1562760
CRED_0035,0.2418,0.2462,1512436
CRED_0036,0.204,0.6178,3607689
CRED_0037,0.0831,0.4039,4496228
CRED_0038,0.0334,0.6349,2930593
CRED_0039,0.1742,0.2392,1913236
CRED_0040,0.1156,0.3892,2396582
CRED_0041,0.0393,0.5237,3623465
CRED_0042,0.1288,0.6744,3817255
CRED_0043,0.0183,0.3913,1649792
CRED_0044,0.2282,0.5755,4524770
CRED_0045,0.0721,0.7316,500930
CRED_0046,0.169,0.5695,4797647
CRED_0047,0.0848,0.3398,2452187
CRED_0048,0.1348,0.2146,3548408
CRED_0049,0.1412,0.7221,2415600
CRED_0050,0.0544,0.2128,3727361
CRED_0051,0.2427,0.7248,3088915
CRED_0052,0.196,0.5174,141006
CRED_0053,0.2355,0.7634,4201785
CRED_0054,0.2248,0.6793,4128584
CRED_0055,0.1535,0.7988,4373654
CRED_0056,0.2312,0.4104,738725
CRED_0057,0.0312,0.6603,2953030
CRED_0058,0.057,0.4412,838768
CRED_0059,0.0209,0.4879,256487
CRED_0060,0.0881,0.5765,3687820
CRED_0061,0.1033,0.7242,3334321
CRED_0062,0.0751,0.7905,728841
CRED_0063,0.2089,0.661,2989302
CRED_0064,0.0956,0.4507,3502501
CRED_0065,0.0774,0.4528,95232
CRED_0066,0.1402,0.6425,2495840
CRED_0067,0.0438,0.3433,1429904
CRED_0068,0.2025,0.2663,3899033
CRED_0069,0.0279,0.4128,1487188
CRED_0070,0.2469,0.3723,1706321
CRED_0071,0.1953,0.3778,588645
CRED_0072,0.0577,0.3402,1621951
CRED_0073,0.0113,0.2253,4575121
CRED_0074,0.2057,0.2107,2879455
CRED_0075,0.1796,0.7926,2553292
CRED_0076,0.185,0.4567,2240421
CRED_0077,0.1951,0.4306,3416823
CRED_0078,0.0278,0.6078,2660469
CRED_0079,0.096,0.331,2217354
CRED_0080,0.0378,0.77,1147353
CRED_0081,0.2171,0.6718,4435010
CRED_0082,0.1596,0.2536,4868750
CRED_0083,0.0894,0.4505,874255
CRED_0084,0.0253,0.7275,3521750
CRED_0085,0.0846,0.7668,4525156
CRED_0086,0.088,0.4804,2815331
CRED_0087,0.1851,0.568,638158
CRED_0088,0.163,0.3002,2680723
CRED_0089,0.2229,0.7947,3881661
CRED_0090,0.1233,0.339,915139
CRED_0091,0.0387,0.7656,1628638
CRED_0092,0.1812,0.5898,3816484
CRED_0093,0.1926,0.5646,2951717
CRED_0094,0.1447,0.5076,2261738
CRED_0095,0.195,0.3384,339768
CRED_0096,0.1285,0.3059,2689929
CRED_0097,0.1355,0.3323,3183211
CRED_0098,0.1126,0.3119,2318185
CRED_0099,0.0161,0.6678,3277544
CRED_0100,0.0359,0.4101,1776199
CRED_0101,0.0175,0.2347,4520013
CRED_0102,0.1627,0.7815,4418327
CRED_0103,0.0854,0.7303,493945
CRED_0104,0.1321,0.7567,71253
CRED_0105,0.2278,0.7969,3653110
CRED_0106,0.0698,0.3043,2326787
CRED_0107,0.1085,0.4377,2304614
CRED_0108,0.1913,0.6549,3902666
CRED_0109,0.0649,0.6176,1000162
CRED_0110,0.0285,0.2923,1324634
CRED_0111,0.0795,0.6895,2805063
CRED_0112,0.0487,0.3347,1278807
CRED_0113,0.2331,0.3343,172775
CRED_0114,0.2039,0.5222,4564276
CRED_0115,0.162,0.5558,4513158
CRED_0116,0.2192,0.5481,464600
CRED_0117,0.2029,0.2549,2319070
CRED_0118,0.0548,0.7265,4463359
CRED_0119,0.2242,0.3594,2083901
CRED_0120,0.1394,0.2777,2881569
CRED_0121,0.2038,0.7332,1498763
CRED_0122,0.2251,0.7734,2569507
CRED_0123,0.0863,0.7173,1306715
CRED_0124,0.0364,0.6857,130257
CRED_0125,0.0647,0.5931,1576534
CRED_0126,0.1125,0.5305,874143
CRED_0127,0.2063,0.2522,3064938
CRED_0128,0.2166,0.4451,3852986
CRED_0129,0.0117,0.4236,4772727
CRED_0130,0.1326,0.3559,421616
CRED_0131,0.1102,0.6341,2010155
CRED_0132,0.0633,0.4975,3674064
CRED_0133,0.0388,0.2486,825158
CRED_0134,0.091,0.3321,2760527
CRED_0135,0.2363,0.61,1818967
CRED_0136,0.0876,0.2457,966383
CRED_0137,0.1345,0.7107,329215
CRED_0138,0.1787,0.4971,2893236
CRED_0139,0.0973,0.4884,3787859
CRED_0140,0.2432,0.5554,323349
CRED_0141,0.241,0.6948,4168893
CRED_0142,0.0704,0.4087,2010584
CRED_0143,0.1293,0.6068,3783003
CRED_0144,0.0822,0.5394,1466207
CRED_0145,0.0784,0.3602,628688
CRED_0146,0.0189,0.7272,4276156
CRED_0147,0.1563,0.6785,2524653
CRED_0148,0.1306,0.5951,3252209
CRED_0149,0.0224,0.7103,4277995
CRED_0150,0.0769,0.7204,4638645
CRED_0151,0.228,0.625,582726
CRED_0152,0.0675,0.7022,4002255
CRED_0153,0.0448,0.6185,3867242
CRED_0154,0.1275,0.6081,289968
CRED_0155,0.2466,0.5712,338963
CRED_0156,0.0681,0.6516,2642536
CRED_0157,0.1713,0.2952,3025635
CRED_0158,0.1928,0.7285,3351017
CRED_0159,0.067,0.7231,569165
CRED_0160,0.1848,0.2175,4464084
CRED_0161,0.0983,0.6955,3490866
CRED_0162,0.1618,0.2773,3928363
CRED_0163,0.162,0.4011,3293484
CRED_0164,0.1386,0.6461,3074243
CRED_0165,0.0317,0.2965,1077557
CRED_0166,0.2105,0.6908,2046170
CRED_0167,0.087,0.6993,3938577
CRED_0168,0.0548,0.5045,1256123
CRED_0169,0.0198,0.2038,1666596
CRED_0170,0.1518,0.3722,1835559
CRED_0171,0.1726,0.5702,358449
CRED_0172,0.014,0.7887,3897125
CRED_0173,0.1329,0.5791,583634
CRED_0174,0.0644,0.3559,3982747
CRED_0175,0.1648,0.5804,240237
CRED_0176,0.0518,0.524,906047
CRED_0177,0.1758,0.6679,4673636
CRED_0178,0.1028,0.2642,4465677
CRED_0179,0.2348,0.6566,1456368
CRED_0180,0.043,0.5248,895474
CRED_0181,0.0919,0.7778,4615537
CRED_0182,0.0372,0.4051,1274744
CRED_0183,0.2319,0.5796,4912894
CRED_0184,0.2206,0.7592,3397769
CRED_0185,0.0719,0.2615,2181018
CRED_0186,0.1684,0.7623,3301128
CRED_0187,0.2061,0.6127,4679375
CRED_0188,0.1432,0.2407,3539429
CRED_0189,0.1371,0.3806,2558426
CRED_0190,0.068,0.6249,2581086
CRED_0191,0.0323,0.2404,344746
CRED_0192,0.2253,0.5493,4402892
CRED_0193,0.2261,0.4075,1752159
CRED_0194,0.1619,0.5725,3807985
CRED_0195,0.0914,0.2274,3852177
CRED_0196,0.0938,0.7229,2053426
CRED_0197,0.1842,0.7841,3401463
CRED_0198,0.2253,0.7813,173950
CRED_0199,0.2229,0.6498,4573942
CRED_0200,0.1972,0.2781,4844821
CRED_0201,0.1641,0.655,1203224
CRED_0202,0.0302,0.2148,4282851
CRED_0203,0.0488,0.2133,2700235
CRED_0204,0.2257,0.3942,4790039
CRED_0205,0.1555,0.4932,1790534
CRED_0206,0.0122,0.6622,3941839
CRED_0207,0.0344,0.61,1354766
CRED_0208,0.1692,0.4675,2353554
CRED_0209,0.0112,0.3642,3448147
CRED_0210,0.0486,0.7983,4998409
CRED_0211,0.1417,0.4557,4070120
CRED_0212,0.1761,0.4708,2996862
CRED_0213,0.1665,0.2982,2726517
CRED_0214,0.0638,0.6769,4357086
CRED_0215,0.1809,0.6162,677220
CRED_0216,0.0669,0.3325,493316
CRED_0217,0.0881,0.2494,3567741
CRED_0218,0.1892,0.6083,3506653
CRED_0219,0.1659,0.5927,525595
CRED_0220,0.2138,0.364,1515744
CRED_0221,0.1678,0.7705,1938806
CRED_0222,0.1464,0.2906,3294424
CRED_0223,0.0325,0.4594,2198091
CRED_0224,0.0983,0.7662,4011676
CRED_0225,0.0736,0.4518,1810462
CRED_0226,0.0686,0.5831,2288673
CRED_0227,0.2435,0.4386,1673154
